exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SZSE,002856,*ST美芝,2017-03-20,,RETROSPECTIVE_PRIMARY,
SZSE,002857,三晖电气,2017-03-23,,RETROSPECTIVE_PRIMARY,
SZSE,002858,力盛体育,2017-03-24,,RETROSPECTIVE_PRIMARY,
SZSE,002859,洁美科技,2017-04-07,,RETROSPECTIVE_PRIMARY,
SZSE,002860,星帅尔,2017-04-12,,RETROSPECTIVE_PRIMARY,
SZSE,002861,瀛通通讯,2017-04-13,,RETROSPECTIVE_PRIMARY,
SZSE,002862,实丰文化,2017-04-11,,RETROSPECTIVE_PRIMARY,
SZSE,002863,今飞凯达,2017-04-18,,RETROSPECTIVE_PRIMARY,
SZSE,002864,盘龙药业,2017-11-16,,RETROSPECTIVE_PRIMARY,
SZSE,002865,钧达股份,2017-04-25,,RETROSPECTIVE_PRIMARY,
SZSE,002866,传艺科技,2017-04-26,,RETROSPECTIVE_PRIMARY,
SZSE,002867,周大生,2017-04-27,,RETROSPECTIVE_PRIMARY,
SZSE,002868,绿康生化,2017-05-03,,RETROSPECTIVE_PRIMARY,
SZSE,002869,金溢科技,2017-05-15,,RETROSPECTIVE_PRIMARY,
SZSE,002870,香山股份,2017-05-15,,RETROSPECTIVE_PRIMARY,
SZSE,002871,伟隆股份,2017-05-11,,RETROSPECTIVE_PRIMARY,
SZSE,002872,ST天圣,2017-05-19,,RETROSPECTIVE_PRIMARY,
SZSE,002873,新天药业,2017-05-19,,RETROSPECTIVE_PRIMARY,
SZSE,002875,安奈儿,2017-06-01,,RETROSPECTIVE_PRIMARY,
SZSE,002876,三利谱,2017-05-25,,RETROSPECTIVE_PRIMARY,
SZSE,002877,智能自控,2017-06-05,,RETROSPECTIVE_PRIMARY,
SZSE,002878,元隆雅图,2017-06-06,,RETROSPECTIVE_PRIMARY,
SZSE,002879,长缆科技,2017-07-07,,RETROSPECTIVE_PRIMARY,
SZSE,002880,卫光生物,2017-06-16,,RETROSPECTIVE_PRIMARY,
SZSE,002881,美格智能,2017-06-22,,RETROSPECTIVE_PRIMARY,
SZSE,002882,金龙羽,2017-07-17,,RETROSPECTIVE_PRIMARY,
SZSE,002883,*ST中设,2017-06-20,,RETROSPECTIVE_PRIMARY,
SZSE,002884,凌霄泵业,2017-07-11,,RETROSPECTIVE_PRIMARY,
SZSE,002885,京泉华,2017-06-27,,RETROSPECTIVE_PRIMARY,
SZSE,002886,沃特股份,2017-06-27,,RETROSPECTIVE_PRIMARY,
SZSE,002887,绿茵生态,2017-08-01,,RETROSPECTIVE_PRIMARY,
SZSE,002888,惠威科技,2017-07-21,,RETROSPECTIVE_PRIMARY,
SZSE,002889,东方嘉盛,2017-07-31,,RETROSPECTIVE_PRIMARY,
SZSE,002890,弘宇股份,2017-08-02,,RETROSPECTIVE_PRIMARY,
SZSE,002891,中宠股份,2017-08-21,,RETROSPECTIVE_PRIMARY,
SZSE,002892,科力尔,2017-08-17,,RETROSPECTIVE_PRIMARY,
